Arrows (20),1 gp
Crossbow Bolts (20),1 gp
"Case, Crossbow Bolt",1 gp
"Case, Map/Scroll",1 gp
"Ball Bearings (bag of 1,00)",1 gp
Caltrops (bag of 20),1 gp
Bell,1 gp
Block and Tackle,1 gp
Chain (10 ft),5 gp
Crowbar,2 gp
Grappling Hook,2 gp
Hammer,1 gp
Miner's Pick,2 gp
Pot - Iron,2 gp
Shovel,2 gp
Sledgehammer,2 gp
Spikes - Iron (10),1 gp
Torch,1 cp
Whetstone,1 cp
Smith's tools,20 gp
Mason's tools,10 gp
Jeweler's Tools,25 gp
Tinker's tools,50 gp
Padded Armor,5 gp
Leather Armor,10 gp
Hide Armor,10 gp
Studded Leather,45 gp
Chain Shirt,50 gp
Scale Mail,50 gp
Ring Mail,30 gp
Chain Mail,75 gp
Spiked Armor,75 gp
Breastplate,400 gp
Halfplate,750 gp
Splint,200 gp
Plate,"1,500 gp"
Pride Silk Outfit,500 gp
Club,1 Sp
Dagger,2 Gp
Great-Club,2 Sp
Hand-Axe,5 Gp
Javelin,5 Sp
Light Hammer,2 Gp
Mace,5 Gp
Quarterstaff,2 Sp
Sickle,1 Gp
Spear,1 Gp
Dart,5 Cp
Sling,1 Sp
Battleaxe,10 Gp
Flail,10 Gp
Glaive,20 Gp
Halberd,20 Gp
Lance,10 Gp
Long-sword,15 Gp
Maul,10 Gp
Morning-star,15 Gp
Pike,5 Gp
Short-sword,10 Gp
Trident,5 Gp
War pick,5 Gp
War-hammer,15 Gp
Whip,2 Gp
"Crossbow, Light",25 Gp
Shortbow,25 Gp
Greataxe,30 Gp
Great-sword,50 Gp
Rapier,25 Gp
Scimitar,25 Gp
"Crossbow, Heavy",50 Gp
Longbow,50 Gp
"Crossbow, Hand",75 Gp
